1000	0.009984	0.003414	0.000530
2000	0.039522	0.010032	0.001222
3000	0.088918	0.023960	0.002529
4000	0.157982	0.043082	0.003849
5000	0.248859	0.066350	0.006607
6000	0.360489	0.091900	0.007460
7000	0.492847	0.120779	0.007544
8000	0.646089	0.154354	0.009245
9000	0.820657	0.192327	0.011437
10000	1.015117	0.234222	0.013187
11000	1.233077	0.280617	0.014697
12000	1.465955	0.330501	0.018108
13000	1.726354	0.387097	0.020183
14000	2.004814	0.445743	0.022187
15000	2.300285	0.511098	0.026441
16000	2.621862	0.577580	0.031714
17000	2.963518	0.651764	0.035056
18000	3.314023	0.728083	0.039925
19000	3.692181	0.808625	0.048271
20000	4.101226	0.897357	0.049309
