1000	0.017445	0.011366	0.032574
2000	0.065778	0.042196	0.092033
3000	0.148339	0.088571	0.214818
4000	0.265389	0.155334	0.389766
5000	0.415897	0.237769	0.632401
6000	0.599485	0.338686	0.904242
7000	0.815477	0.455691	1.286534
8000	1.065652	0.591249	1.823869
9000	1.350163	0.744486	2.485810
10000	1.665839	0.915484	3.165360
11000	2.019135	1.105237	4.006242
12000	2.449393	1.342708	4.986110
13000	2.814987	1.535678	6.016362
14000	3.266660	1.774676	7.007903
15000	3.748860	2.035001	8.043802
16000	4.258484	2.311471	9.521415
17000	4.807879	2.608554	10.820416
18000	5.408703	2.924529	31.799386
19000	6.154615	3.325262	56.123672
20000	6.663628	3.597676	72.442181
