1000	0.016964	0.011247	0.028760
2000	0.068506	0.042393	0.094504
3000	0.154356	0.090532	0.218109
4000	0.291677	0.163543	0.403182
5000	0.432377	0.239569	0.644945
6000	0.628802	0.340395	0.926042
7000	0.847567	0.463498	1.316035
8000	1.110918	0.600689	1.893880
9000	1.519642	0.754068	2.510399
10000	1.853788	0.992128	4.555499
11000	2.225229	1.176992	4.145928
12000	2.529673	1.342684	5.175393
13000	2.955118	1.566198	6.156240
14000	3.437879	1.820326	7.283920
15000	3.938693	2.079420	8.445305
16000	4.486225	2.364379	9.858476
17000	5.056223	2.672487	20.288223
18000	5.654363	2.975766	39.542894
19000	6.829518	3.314080	40.139033
20000	7.383180	3.880292	68.768148
