1000	0.010065	0.003441	0.000791
2000	0.039376	0.010488	0.002234
3000	0.087857	0.023978	0.004511
4000	0.158286	0.044351	0.004668
5000	0.249994	0.068283	0.008849
6000	0.370493	0.094852	0.010027
7000	0.532988	0.125081	0.009639
8000	0.661123	0.161746	0.012780
9000	0.836228	0.197713	0.015143
10000	1.030655	0.237478	0.016554
11000	1.236975	0.283482	0.021872
12000	1.504766	0.337014	0.023058
13000	1.756392	0.402978	0.025203
14000	2.006174	0.449947	0.028076
15000	2.309030	0.519375	0.032275
16000	2.634804	0.586283	0.034157
17000	3.029678	0.667801	0.040342
18000	3.357229	0.762980	0.044519
19000	3.706752	0.816464	0.052620
20000	4.095794	0.903245	0.057920
