1000	0.009851	0.003278	0.001041
2000	0.041790	0.010987	0.002079
3000	0.088204	0.025747	0.004293
4000	0.158311	0.045231	0.006379
5000	0.249434	0.068966	0.012655
6000	0.360275	0.094712	0.012667
7000	0.494339	0.125269	0.013037
8000	0.648238	0.157067	0.016839
9000	0.821988	0.196915	0.020533
10000	1.019621	0.237586	0.024021
11000	1.231577	0.285942	0.028364
12000	1.469707	0.337646	0.031531
13000	1.726309	0.393081	0.037225
14000	2.006411	0.452327	0.043046
15000	2.296612	0.517792	0.050505
16000	2.618788	0.588422	0.060409
17000	2.960970	0.664765	0.066857
18000	3.321401	0.738483	0.077638
19000	3.695886	0.820179	0.086372
20000	4.102814	0.908089	0.097092
